index,Name,Netflows,First_Protocol,Second_Protocol,Third_Protocol,p1_d,p2_d,p3_d,duration,max_d,min_d,#packets,Avg_bps,Avg_pps,Avg_bpp,#Bytes,#sp,#dp,first_sp,second_sp,third_sp,first_dp,second_dp,third_dp,p1_ip,p2_ip,p3_ip,p1_ib,p2_ib,p3_ib,Type,Cryptocurrency,Id_Cryptocurrency
600,308-csves/1.csv,175,TCP,UDP,,0.0,0.0,3.011,1692.9320000000002,74.65,0.0,5790,230175,33,856,4961496,38,36,123,443.0,80.0,123,443.0,80.0,1.0,1.0,2.0,32.0,48.0,64.0,not_mine,,0
645,78-csves/8.csv,12,TCP,,,14.8945,24.6745,49.23075,340.63800000000003,58.225,0.0,196,1184,1,132,25984,2,2,4444,64790.0,,4444,64790.0,,9.0,13.5,28.25,522.5,1287.5,2633.25,mine,Etherium,4
315,75-csves/2.csv,2,TCP,,,272.19075,272.1915,272.19225,544.383,272.193,272.19,34,431,0,431,14669,2,2,3333,52003.0,,3333,52003.0,,16.5,17.0,17.5,3952.25,7334.5,10716.75,mine,Litecoin,3
487,250-csves/1.csv,81,TCP,UDP,,0.0,0.035,11.312000000000001,957.669,71.20100000000001,0.0,630,23843,8,365,230181,45,44,443,53.0,59786.0,443,53.0,1900.0,1.0,3.0,10.0,64.0,173.0,1404.0,not_mine,,0
192,99-csves/0.csv,4,UDP,,,0.0,0.0,0.0,0.0,0.0,0.0,4,617,0,101,406,3,3,53,58604.0,37097.0,53,58604.0,37097.0,1.0,1.0,1.0,32.75,95.5,164.25,not_mine,,0
843,99-csves/3.csv,2,TCP,,,598.867,598.867,598.867,1197.734,598.867,598.867,715,1277,1,133,95634,2,2,4444,64790.0,,4444,64790.0,,348.75,357.5,366.25,31995.0,47817.0,63639.0,mine,Etherium,4
803,93-csves/35.csv,16,TCP,,,9.983250000000002,19.2065,27.72175,588.5880000000001,184.268,0.35200000000000004,360,1240,1,133,48071,2,2,56731,4444.0,,56731,4444.0,,6.25,10.5,18.5,472.0,985.0,2750.5,mine,Etherium,4
48,12-csves/1.csv,2,TCP,,,291.555,291.555,291.555,583.11,291.555,291.555,43,360,0,305,13143,2,2,3333,56490.0,,3333,56490.0,,20.75,21.5,22.25,3674.75,6571.5,9468.25,mine,Litecoin,3
232,55-csves/3.csv,2,TCP,,,287.035,287.055,287.0750000000001,574.11,287.095,287.015,47,392,0,299,14071,2,2,3333,53058.0,,3333,53058.0,,22.75,23.5,24.25,3926.75,7035.5,10144.25,mine,Litecoin,3
126,66-csves/0.csv,18,TCP,UDP,,46.292,58.6045,90.11200000000001,1321.5150000000006,240.007,3.0039999999999996,103,684,0,214,22069,12,11,80,443.0,32942.0,443,80.0,1900.0,2.0,3.0,5.0,64.0,96.0,202.0,not_mine,,0
73,39-csves/0.csv,140,TCP,UDP,ICMP6,0.019250000000000003,1.4905,53.13125,3999.723,149.281,0.0,6932,161864,23,857,5944581,56,41,443,80.0,0.0,5355,443.0,80.0,2.0,2.0,5.0,44.0,84.0,249.75,not_mine,,0
885,102-csves/20.csv,46,TCP,,,3.8489999999999998,7.3765,12.72825,530.2080000000002,44.11600000000001,0.0,341,1183,1,133,45485,2,2,4444,64790.0,,4444,64790.0,,2.25,5.0,8.75,274.0,517.5,1219.75,mine,Etherium,4
